,imdbId,title,releaseYear,releaseDate,genre_x,writers,actors,directors,sequel,hitFlop,movie_name,release_date,runtime,genre_y,hitfactor,screens,footfall,budget,first_day,first_weekend,first_week,worldwide_first_weekend,worldwide_first_week,india_gross,worldwide_gross
0,tt0118578,Albela,2001,20 Apr 2001,Romance,Honey Irani (screenplay) | Honey Irani (story) | Javed Siddiqui (dialogue),Govinda | Aishwarya Rai Bachchan | Jackie Shroff | Namrata Shirodkar,Deepak Sareen,0.0,2,Albela, 20 Apr 2001 , 147 min  ,Rom - Com,Flop,250,"65,71,000","10,00,00,000","76,00,000","2,34,00,000","4,34,50,000","4,53,89,500","8,16,44,750","17,69,00,000","18,81,20,000"
1,tt0187279,Meri Biwi Ka Jawab Nahin,2004,02 Jul 2004,Action | Comedy,,Akshay Kumar | Sridevi | Gulshan Grover | Laxmikant Berde,Pankaj Parashar | S.M. Iqbal,0.0,1,Meri Biwi Ka Jawab Nahin, 2 Jul 2004 , 133 min  ,Comedy,Disaster,25,"1,36,500","2,25,00,000","4,75,000","12,00,000","18,00,000","17,52,000","26,28,000","39,00,000","39,00,000"
2,tt0222024,Hum Tumhare Hain Sanam,2002,24 May 2002,Drama | Romance,K.S. Adiyaman | Arun Kumar (assistant dialogue) | Ashok Mehta (assistant dialogue) | Reema Rakesh Nath (dialogue),Shah Rukh Khan | Madhuri Dixit | Salman Khan | Atul Agnihotri,K.S. Adiyaman,0.0,4,Hum Tumhare Hain Sanam, 24 May 2002 , 172 min  ,Love Story,Average,300,"81,32,000","12,00,00,000","1,42,00,000","4,14,00,000","6,84,00,000","11,11,85,000","17,23,95,000","22,26,70,000","34,76,20,000"
3,tt0227194,One 2 Ka 4,2001,30 Mar 2001,Action | Comedy | Drama,Sanjay Chhel | Raaj Kumar Dahima (screenplay) | Manoj Lalwani (screenplay),Shah Rukh Khan | Juhi Chawla | Jackie Shroff | Nirmal Pandey,Shashilal K. Nair,0.0,1,One 2 Ka 4, 30 Mar 2001 , 175 min  ,Action,Disaster,260,"44,67,000","12,00,00,000","77,00,000","2,14,00,000","3,71,00,000","4,89,53,500","8,01,36,500","11,20,00,000","13,82,72,500"
4,tt0238936,Devdas,2002,12 Jul 2002,Musical | Romance,Saratchandra Chatterjee (based on the novel by) | Prakash Kapadia (screenplay) | Sanjay Leela Bhansali (screenplay) | Prakash Kapadia (dialogue),Shah Rukh Khan | Madhuri Dixit | Aishwarya Rai Bachchan | Jackie Shroff,Sanjay Leela Bhansali,0.0,6,Devdas, 12 Jul 2002 , 185 min  ,Love Story,Hit,325,"2,05,53,000","44,00,00,000","2,09,00,000","6,15,00,000","11,78,00,000","19,83,60,000","33,45,67,000","68,19,00,000","99,87,75,000"
5,tt0247911,Aap Mujhe Achche Lagne Lage,2002,19 Apr 2002,Action | Drama | Romance,Robin Bhatt (story) | Girish Dhamija (dialogue) | Sanjeev Duggal (story),Hrithik Roshan | Ameesha Patel | Kiran Kumar | Mukesh Tiwari,Vikram Bhatt,0.0,2,Aap Mujhe Achche Lagne Lage, 19 Apr 2002 , 166 min  ,Love Story,Flop,250,"55,19,000","11,00,00,000","1,09,00,000","3,24,00,000","5,30,00,000","7,24,72,500","11,42,62,500","15,81,00,000","20,27,06,250"
6,tt0248126,Kabhi Khushi Kabhie Gham...,2001,14 Dec 2001,Drama | Musical | Romance,Karan Johar | Sheena Parikh (screenplay),Amitabh Bachchan | Jaya Bhaduri | Shah Rukh Khan | Kajol,Karan Johar,0.0,8,Kabhi Khushi Kabhie Gham..., 14 Dec 2001 , 210 min  ,Drama,Blockbuster,500,"3,11,73,000","40,00,00,000","2,38,00,000","7,00,00,000","14,38,00,000","22,25,00,000","39,37,46,000","92,81,00,000","1,35,53,00,000"
7,tt0248216,Na Tum Jaano Na Hum,2002,10 May 2002,Comedy | Drama | Musical,Pratibha Acharya (dialogue) | Arjun Sablok,Saif Ali Khan | Hrithik Roshan | Esha Deol | Alok Nath,Arjun Sablok,0.0,1,Na Tum Jaano Na Hum, 10 May 2002 , 161 min  ,Love Story,Disaster,200,"43,29,000","14,00,00,000","81,00,000","2,46,00,000","4,33,50,000","6,22,81,500","10,10,75,250","13,34,00,000","19,28,75,000"
8,tt0255713,Zubeidaa,2001,19 Jan 2001,Adventure | Biography | Drama,Khalid Mohamed (original story and screenplay) | Javed Siddiqui (dialogue),Karisma Kapoor | Rekha | Manoj Bajpayee | Rajit Kapoor,Shyam Benegal,0.0,1,Zubeidaa, 19 Jan 2001 , 153 min  ,Drama,Disaster,70,"20,32,000","5,00,00,000","19,00,000","64,00,000","1,21,00,000","1,99,24,000","3,35,71,000","5,76,00,000","8,55,00,000"
9,tt0256692,Chori Chori Chupke Chupke,2001,09 Mar 2001,Drama | Musical | Romance,Shyam Goel (screenplay) | Javed Siddiqui (dialogue) | Neeraj Vora (story),Preity Zinta | Salman Khan | Rani Mukerji | Amrish Puri,Abbas Alibhai Burmawalla | Mastan Alibhai Burmawalla,0.0,5,Chori Chori Chupke Chupke, 9 Mar 2001 , 166 min  ,Love Story,Semi Hit,295,"1,19,02,000","13,00,00,000","1,14,00,000","3,48,00,000","6,50,00,000","7,74,12,000","13,61,22,500","31,00,00,000","37,51,00,000"
