movie_name,release_date,runtime,genre,hitfactor,screens,footfall,budget,first_day,first_weekend,first_week,worldwide_first_weekend,worldwide_first_week,india_gross,worldwide_gross
Wajah Tum Ho, 16 Dec 2016 , 136 min  ,Thriller,Flop,2000,"12,36,000","14,00,00,000","2,16,00,000","6,08,00,000","9,09,00,000","8,51,20,000","12,72,60,000","13,57,00,000","13,57,00,000"
Barwali, 3 Jul 2009 , 85 min  ,Adult,Disaster,1,"56,600","10,00,000",None,None,None,None,"17,28,000","17,25,000","17,25,000"
Grow Up, 9 Oct 2015 , 0 min  ,Drama,Disaster,10,"6,325",None,None,None,None,None,"3,50,000","3,50,000","3,50,000"
Chutki Bajaa Ke, 25 May 2012 , 105 min  ,Drama,Disaster,20,"4,400","1,25,00,000","75,000","2,25,000","3,00,000","2,94,750","3,93,000","4,25,000","4,25,000"
Poster Boys, 8 Sep 2017 , 131 min  ,Comedy,Flop,1300,"11,75,000","27,00,00,000","1,70,00,000","6,97,00,000","10,61,00,000","10,27,63,000","15,42,16,500","15,00,00,000","17,08,81,250"
Om Shanti Om, 9 Nov 2007 , 162 min  ,Masala,Blockbuster,1200,"1,79,74,000","40,00,00,000","5,53,00,000","21,47,00,000","36,38,00,000","46,84,55,000","74,63,20,000","1,09,78,00,000","1,49,87,25,000"
2 States, 18 Apr 2014 , 149 min  ,Love Story,Super Hit,1900,"1,02,64,000","45,00,00,000","12,11,00,000","37,17,00,000","58,45,00,000","66,91,95,000","1,02,36,75,000","1,37,71,00,000","1,72,99,00,000"
Border, 13 Jun 1997 , 176 min  ,Action,All Time Blockbuster,290,"3,70,83,000","10,00,00,000","1,12,00,000","3,23,00,000","6,19,00,000","5,51,68,000","10,57,00,000","63,68,00,000","65,57,00,000"
Encounter - The Killing, 9 Aug 2002 , 144 min  ,Drama,Disaster,6,"1,65,500","80,00,000","1,50,000","5,00,000","9,00,000","8,10,000","14,58,000","64,00,000","64,00,000"
Gangobai, 16 Aug 2002 , 122 min  ,Action,Disaster,5,"1,37,500","25,00,000",None,None,None,None,"27,55,500","27,50,000","27,50,000"
